;Note max critere KO;Note min critere OK;Eugénie Grandet;La Touche étoile;... Et mon tout est un homme
Fond / Présentation du projet (si possible visuellement) et présentation de la problématique (2.0 points);0,50;1,50;;;
Commentaire de ce critère;;;;;
Fond / Profondeur d'analyse (càd pas seulement descriptif, mais aussi capacité analytique) (2.0 points);0,50;1,50;;;
Commentaire de ce critère;;;;;
Fond / Initiatives (2.0 points);0,50;1,50;;;
Commentaire de ce critère;;;;;
Fond / Résultats et recul (2.0 points);0,50;1,50;;;
Commentaire de ce critère;;;;;
Fond / Références et état de l'art/de l'existant (2.0 points);0,50;1,50;;;
Commentaire de ce critère;;;;;
Forme / Respect temps (2.0 points);0,50;1,50;;;
Commentaire de ce critère;;;;;
Forme / Prise de parole équilibrée et passage de la parole entre les membres (2.0 points);0,50;1,50;;;
Commentaire de ce critère;;;;;
Forme / Clarté (2.0 points);0,50;1,50;;;
Commentaire de ce critère;;;;;
Forme / Dynamisme (2.0 points);0,50;1,50;;;
Commentaire de ce critère;;;;;
Forme / Originalité et beauté (2.0 points);0,50;1,50;;;
Commentaire de ce critère;;;;;
Ligne inutilisée (par exemple, pour y mettre des totaux);;;
Commentaires généraux;;;
